pregunta_usuario,intencion,emocion_detectada,respuesta_tecnica,respuesta_emocional
"No puedo entrar, la contraseña no funciona. ¡Qué frustración!",contrasena,frustracion,El error de contraseña requiere un restablecimiento. Te guiaré paso a paso.,"Entiendo tu frustración. No te preocupes, es un problema común. Te guiaré para restablecer tu contraseña."
"Hola, olvidé mi contraseña, ¿cómo la recupero?",contrasena,confusion,"Para recuperar tu contraseña, haz clic en 'Olvidé mi contraseña' e ingresa tu correo institucional.","No te preocupes, es algo que pasa a menudo. Para recuperar tu contraseña, haz clic en 'Olvidé mi contraseña'..."
¡Necesito firmar esto urgente y la firma no aparece!,firma_digital,urgencia,La firma digital requiere que el certificado esté correctamente instalado y habilitado en el navegador. Revisa la configuración de tu certificado.,¡Claro que sí! Comprendo la urgencia. Vamos a solucionarlo rápidamente. Te daré los pasos para verificar tu certificado.
"No entiendo qué es un 'visto bueno', ¿me explicas?",visto_bueno,confusion,El 'Visto Bueno' es una aprobación preliminar a un documento. Te guiaré por los pasos para darlo.,¡Buena pregunta! El 'Visto Bueno' es la acción de aprobar un documento. ¿Quieres que te explique los pasos?
"Estoy muy molesto, el sistema está lentísimo otra vez.",documento,frustracion,La lentitud del sistema puede ser temporal. Intenta limpiar la caché de tu navegador y reinicia la sesión.,Lamento mucho que el sistema esté lento. Te sugiero limpiar la caché para ver si mejora la velocidad.
"Hola, tengo un problema con el SGD, ¿me puedes ayudar?",saludo,neutro,"Hola, soy el asistente virtual para soporte del SGD y Firma Digital. ¿En qué puedo ayudarte hoy?",¡Hola! Estoy aquí para ayudarte. ¿Qué necesitas?
"Mi firma digital expiró, ¿cómo la renuevo?",firma_digital,neutro,"Para renovar tu firma digital, debes solicitar un nuevo certificado a través del portal de la Autoridad de Certificación.","Entendido. Para renovar tu firma, te guiaré por el proceso de solicitud de un nuevo certificado."
¿Cómo reasigno un documento a otro compañero?,derivacion,confusion,"Para reasignar un documento, debes abrirlo y usar la opción 'Reasignar' o 'Derivar' a la persona correcta.","Claro, te explico. Para reasignar un documento, debes abrirlo y buscar la opción 'Reasignar'."
"El documento que me derivaron no está en mi bandeja, ¿por qué?",documento,confusion,Verifica los filtros de tu bandeja de entrada o la sección de documentos archivados. El documento podría estar allí.,"No te preocupes. A veces se oculta por los filtros. Por favor, revisa en 'Documentos Archivados' o los filtros de búsqueda."
"Adiós, gracias por tu ayuda.",despedida,alegria,"De nada. Si necesitas algo más, no dudes en contactarme. ¡Que tengas un excelente día!",¡De nada! Me alegra haberte ayudado. ¡Hasta pronto!
"Estoy muy feliz, pude firmar mi documento al fin. ¡Gracias!",firma_digital,alegria,"¡Qué bueno! Me alegra mucho que todo haya funcionado. Si necesitas más ayuda, aquí estoy.",¡Qué excelente noticia! Me alegra que todo haya funcionado tan bien.
"La firma no se valida, me da un error de certificado. ¡Esto es un desastre!",firma_digital,frustracion,Un error de validación de firma puede significar que tu certificado ha expirado. Revisa la fecha de caducidad.,Comprendo tu frustración. Un error de validación puede ser un problema de certificado. Te guiaré para revisarlo.
"Necesito derivar este documento, ¿cómo se hace?",derivacion,neutro,"Para derivar un documento, haz clic en el botón 'Derivar' y selecciona a la persona o área de destino.","Para derivar un documento, te mostraré dónde está el botón y cómo seleccionar al destinatario."
"Qué bien que estás aquí, tengo una duda sobre un documento.",saludo,alegria,"Hola, qué gusto saber que estás aquí. ¿En qué puedo ayudarte?",¡Hola! Me alegra que estés aquí. Dime en qué te puedo ayudar hoy.
No encuentro la opción para crear un documento nuevo.,documento,confusion,"La opción para crear un documento nuevo se encuentra en la barra lateral, con el icono '+'.",No te preocupes. La opción está en la barra lateral con el icono '+'. Es muy fácil.
Me han bloqueado la cuenta por tantos intentos fallidos.,contrasena,frustracion,"El bloqueo de cuenta se produce por varios intentos fallidos. Te recomiendo esperar 30 minutos. Si el problema persiste, contacta a la mesa de ayuda.","Entiendo tu frustración con el bloqueo. Te sugiero esperar un momento y si no se soluciona, te daré los datos de la mesa de ayuda."
Estoy harto de los errores. La contraseña no funciona.,contrasena,frustracion,"Entiendo tu frustración. Por favor, intenta restablecer tu contraseña. El enlace es: [Enlace de reseteo]",Lamento el inconveniente. Vamos a solucionarlo. ¿Quieres que te envíe un enlace para restablecer tu contraseña?
"El documento dice que está observado, ¿qué significa eso?",documento,confusion,"Cuando un documento está 'observado', significa que se le ha devuelto para que realices correcciones. Debes editarlo y reenviarlo.","No te preocupes, el estado 'observado' es un proceso normal. Te guiaré para que puedas hacer las correcciones solicitadas."
¿Puedo cambiar la firma visual que se muestra en los documentos?,firma_digital,confusion,"La firma visual es un elemento de seguridad. Si necesitas cambiarla, se debe solicitar a la Mesa de Ayuda.","Para que la firma visual aparezca, se debe hacer una configuración. Te guiaré para hacerlo, pero recuerda que un cambio solo es posible a través de la mesa de ayuda."
No puedo descargar el documento adjunto. Me urge tenerlo.,documento,urgencia,La descarga puede estar bloqueada por el navegador o tu antivirus. Intenta desactivar los bloqueadores de ventanas emergentes.,"Entiendo tu urgencia. Por favor, revisa si tu navegador tiene un bloqueador de descargas o si el antivirus lo está impidiendo."
¡Qué mal día! No entiendo nada de cómo usar el sistema.,otro,frustracion,"Comprendo tu frustración. Para que pueda ayudarte, por favor, dime qué quieres hacer exactamente.","Comprendo la frustración. Para que pueda ayudarte, por favor, dime qué quieres hacer."
